unique_id,ds,PatchTST
grid_1,2026-11-05 20:42:00,1.7821031
grid_1,2026-11-05 20:45:00,1.7674837
grid_1,2026-11-05 20:48:00,1.775007
grid_1,2026-11-05 20:51:00,1.746123
grid_1,2026-11-05 20:54:00,1.7519312
grid_1,2026-11-05 20:57:00,1.7578247
grid_1,2026-11-05 21:00:00,1.7579309
grid_1,2026-11-05 21:03:00,1.7718661
grid_1,2026-11-05 21:06:00,1.7486888
grid_1,2026-11-05 21:09:00,1.7597768
grid_1,2026-11-05 21:12:00,1.7576771
grid_1,2026-11-05 21:15:00,1.7571352
grid_1,2026-11-05 21:18:00,1.7412379
grid_1,2026-11-05 21:21:00,1.7812325
grid_1,2026-11-05 21:24:00,1.7725532
grid_1,2026-11-05 21:27:00,1.7655758
grid_1,2026-11-05 21:30:00,1.7388439
grid_1,2026-11-05 21:33:00,1.756685
grid_1,2026-11-05 21:36:00,1.7674487
grid_1,2026-11-05 21:39:00,1.7598462
grid_1,2026-11-05 21:42:00,1.7461967
grid_1,2026-11-05 21:45:00,1.7667241
grid_1,2026-11-05 21:48:00,1.7710394
grid_1,2026-11-05 21:51:00,1.7616577
